date,Demand,tipo,conf_lower,conf_upper
2002-01-01,8309.0968,real,,
2002-02-01,8685.9286,real,,
2002-03-01,8761.9355,real,,
2002-04-01,8838.6667,real,,
2002-05-01,9170.871,real,,
2002-06-01,9234.0333,real,,
2002-07-01,9238.6129,real,,
2002-08-01,9412.2258,real,,
2002-09-01,8774.1,real,,
2002-10-01,8922.6129,real,,
2002-11-01,8918.4667,real,,
2002-12-01,8969.4516,real,,
2003-01-01,8494.6452,real,,
2003-02-01,8612.75,real,,
2003-03-01,8716.2903,real,,
2003-04-01,8908.8667,real,,
2003-05-01,9139.7097,real,,
2003-06-01,9260.1667,real,,
2003-07-01,9287.9355,real,,
2003-08-01,9513.1613,real,,
2003-09-01,9021.8333,real,,
2003-10-01,9215.871,real,,
2003-11-01,9040.5333,real,,
2003-12-01,9090.9677,real,,
2004-01-01,8793.0645,real,,
2004-02-01,8925.9655,real,,
2004-03-01,9140.4839,real,,
2004-04-01,9207.4,real,,
2004-05-01,9276.7097,real,,
2004-06-01,9418.3,real,,
2004-07-01,9455.129,real,,
2004-08-01,9430.3871,real,,
2004-09-01,9113.3333,real,,
2004-10-01,9212.5161,real,,
2004-11-01,9151.7,real,,
2004-12-01,9287.1935,real,,
2005-01-01,8913.0645,real,,
2005-02-01,8948.4643,real,,
2005-03-01,9109.3871,real,,
2005-04-01,9208.7333,real,,
2005-05-01,9377.7419,real,,
2005-06-01,9467.9667,real,,
2005-07-01,9629.7419,real,,
2005-08-01,9643.3548,real,,
2005-09-01,9008.8667,real,,
2005-10-01,9145.7097,real,,
2005-11-01,9209.6,real,,
2005-12-01,9372.4194,real,,
2006-01-01,8917.3226,real,,
2006-02-01,8990.1071,real,,
2006-03-01,9163.2258,real,,
2006-04-01,9228.0667,real,,
2006-05-01,9401.9677,real,,
2006-06-01,9564.2333,real,,
2006-07-01,9692.871,real,,
2006-08-01,9664.3226,real,,
2006-09-01,9315.3667,real,,
2006-10-01,9368.6452,real,,
2006-11-01,9329.4333,real,,
2006-12-01,9407.1935,real,,
2007-01-01,8963.2581,real,,
2007-02-01,9084.3571,real,,
2007-03-01,9277.8387,real,,
2007-04-01,9284.7667,real,,
2007-05-01,9520.2581,real,,
2007-06-01,9577.8333,real,,
2007-07-01,9718.8065,real,,
2007-08-01,9672.0323,real,,
2007-09-01,9328.6667,real,,
2007-10-01,9337.6129,real,,
2007-11-01,9312.6,real,,
2007-12-01,9314.9355,real,,
2008-01-01,8871.9677,real,,
2008-02-01,8925.7931,real,,
2008-03-01,9146.3548,real,,
2008-04-01,9168.3333,real,,
2008-05-01,9324.2258,real,,
2008-06-01,9178.3333,real,,
2008-07-01,9214.4839,real,,
2008-08-01,9206.4839,real,,
2008-09-01,8558.7,real,,
2008-10-01,9096.4839,real,,
2008-11-01,8972.4667,real,,
2008-12-01,8983.4839,real,,
2009-01-01,8683.0323,real,,
2009-02-01,8889.8929,real,,
2009-03-01,8978.8387,real,,
2009-04-01,9082.1333,real,,
2009-05-01,9148.7097,real,,
2009-06-01,9244.7333,real,,
2009-07-01,9326.2581,real,,
2009-08-01,9363.1935,real,,
2009-09-01,8973.2667,real,,
2009-10-01,9055.0323,real,,
2009-11-01,8967.2,real,,
2009-12-01,8987.3871,real,,
2010-01-01,8565.9677,real,,
2010-02-01,8628.0,real,,
2010-03-01,8859.8387,real,,
2010-04-01,9157.3667,real,,
2010-05-01,9223.5161,real,,
2010-06-01,9370.6333,real,,
2010-07-01,9360.6774,real,,
2010-08-01,9314.0645,real,,
2010-09-01,9170.4333,real,,
2010-10-01,9081.6129,real,,
2010-11-01,8871.1667,real,,
2010-12-01,8957.4516,real,,
2011-01-01,8420.6129,real,,
2011-02-01,8655.5714,real,,
2011-03-01,8868.2903,real,,
2011-04-01,8838.1667,real,,
2011-05-01,8879.0323,real,,
2011-06-01,9124.9,real,,
2011-07-01,9089.1613,real,,
2011-08-01,8987.4194,real,,
2011-09-01,8793.5667,real,,
2011-10-01,8714.4839,real,,
2011-11-01,8592.3333,real,,
2011-12-01,8728.0,real,,
2012-01-01,8238.7097,real,,
2012-02-01,8643.3793,real,,
2012-03-01,8643.8387,real,,
2012-04-01,8783.7333,real,,
2012-05-01,9036.1613,real,,
2012-06-01,9046.3333,real,,
2012-07-01,8866.6452,real,,
2012-08-01,9207.5161,real,,
2012-09-01,8609.4667,real,,
2012-10-01,8760.9677,real,,
2012-11-01,8532.6333,real,,
2012-12-01,8429.4194,real,,
2013-01-01,8370.8065,real,,
2013-02-01,8432.25,real,,
2013-03-01,8690.3226,real,,
2013-04-01,8889.7,real,,
2013-05-01,9080.3871,real,,
2013-06-01,9122.7,real,,
2013-07-01,9191.2903,real,,
2013-08-01,9170.1613,real,,
2013-09-01,8984.3,real,,
2013-10-01,8992.0323,real,,
2013-11-01,8969.3333,real,,
2013-12-01,8701.9355,real,,
2014-01-01,8312.0968,real,,
2014-02-01,8682.5,real,,
2014-03-01,8747.2258,real,,
2014-04-01,8990.4333,real,,
2014-05-01,9068.4516,real,,
2014-06-01,9080.9667,real,,
2014-07-01,9295.5161,real,,
2014-08-01,9357.3548,real,,
2014-09-01,8860.7667,real,,
2014-10-01,9196.4516,real,,
2014-11-01,8964.0333,real,,
2014-12-01,8978.5806,real,,
2015-01-01,8676.5484,real,,
2015-02-01,8866.3214,real,,
2015-03-01,9102.871,real,,
2015-04-01,9227.7,real,,
2015-05-01,9308.6129,real,,
2015-06-01,9460.2667,real,,
2015-07-01,9517.6129,real,,
2015-08-01,9503.871,real,,
2015-09-01,9327.6333,real,,
2015-10-01,9296.0645,real,,
2015-11-01,9153.5,real,,
2015-12-01,9182.8065,real,,
2016-01-01,8687.0323,real,,
2016-02-01,9258.3103,real,,
2016-03-01,9417.5484,real,,
2016-04-01,9211.8667,real,,
2016-05-01,9457.4516,real,,
2016-06-01,9647.4667,real,,
2016-07-01,9616.0968,real,,
2016-08-01,9730.4839,real,,
2016-09-01,9518.8667,real,,
2016-10-01,9136.3226,real,,
2016-11-01,9273.6,real,,
2016-12-01,9315.9355,real,,
2017-01-01,8542.7097,real,,
2017-02-01,9043.3571,real,,
2017-03-01,9363.3548,real,,
2017-04-01,9333.5333,real,,
2017-05-01,9590.5806,real,,
2017-06-01,9818.4667,real,,
2017-07-01,9640.0645,real,,
2017-08-01,9797.4839,real,,
2017-09-01,9420.0,real,,
2017-10-01,9397.129,real,,
2017-11-01,9151.4,real,,
2017-12-01,9289.5484,real,,
2018-01-01,8822.0,real,,
2018-02-01,8828.1786,real,,
2018-03-01,9503.5806,real,,
2018-04-01,9243.9667,real,,
2018-05-01,9554.129,real,,
2018-06-01,9838.6667,real,,
2018-07-01,9686.3871,real,,
2018-08-01,9822.4839,real,,
2018-09-01,9191.7667,real,,
2018-10-01,9338.5806,real,,
2018-11-01,9326.5333,real,,
2018-12-01,9219.7097,real,,
2019-01-01,8808.871,real,,
2019-02-01,9102.0,real,,
2019-03-01,9219.4839,real,,
2019-04-01,9445.3333,real,,
2019-05-01,9535.9677,real,,
2019-06-01,9742.4333,real,,
2019-07-01,9575.6129,real,,
2019-08-01,9871.6774,real,,
2019-09-01,9237.9333,real,,
2019-10-01,9345.0323,real,,
2019-11-01,9244.4333,real,,
2019-12-01,9003.129,real,,
2020-01-01,8765.6129,real,,
2020-02-01,9088.2069,real,,
2020-03-01,7831.0323,real,,
2020-04-01,5895.8333,real,,
2020-05-01,7243.6774,real,,
2020-06-01,8334.4667,real,,
2020-07-01,8503.3548,real,,
2020-08-01,8568.9355,real,,
2020-09-01,8581.7333,real,,
2020-10-01,8366.5806,real,,
2020-11-01,8045.9,real,,
2020-12-01,7891.5806,real,,
2021-01-01,7761.7742,real,,
2021-02-01,7856.4643,real,,
2021-03-01,8598.9032,real,,
2021-04-01,8876.3333,real,,
2021-05-01,9120.3871,real,,
2021-06-01,9406.7333,real,,
2021-07-01,9335.0323,real,,
2021-08-01,9227.7097,real,,
2021-09-01,8972.3667,real,,
2021-10-01,9073.3871,real,,
2021-11-01,9058.7333,real,,
2021-12-01,8911.8387,real,,
2022-01-01,8097.4839,real,,
2022-02-01,8691.8214,real,,
2022-03-01,9057.129,real,,
2022-04-01,8832.1,real,,
2022-05-01,9158.9032,real,,
2022-06-01,9121.0333,real,,
2022-07-01,8848.8065,real,,
2022-08-01,9164.871,real,,
2022-09-01,8884.0,real,,
2022-10-01,8854.0968,real,,
2022-11-01,8870.5333,real,,
2022-12-01,8631.5161,real,,
2023-01-01,8311.5161,real,,
2023-02-01,8747.7857,real,,
2023-03-01,9042.2581,real,,
2023-04-01,9028.2333,real,,
2023-05-01,9141.3548,real,,
2023-06-01,9315.7667,real,,
2023-07-01,9050.4194,real,,
2023-08-01,9336.6452,real,,
2023-09-01,8862.1,real,,
2023-10-01,9133.0968,real,,
2023-11-01,8877.3333,real,,
2023-12-01,8871.0645,real,,
2024-01-01,8266.9032,real,,
2024-02-01,8637.9655,real,,
2024-03-01,8918.9677,real,,
2024-04-01,8866.9667,real,,
2024-05-01,9429.4839,real,,
2024-06-01,9159.5,real,,
2024-07-01,9335.4194,real,,
2024-08-01,9294.7097,real,,
2024-09-01,9030.5667,real,,
2024-10-01,9104.1935,real,,
2024-11-01,8843.4667,real,,
2024-12-01,8824.3226,real,,
2025-01-01,8514.6452,real,,
2025-02-01,8718.25,real,,
2025-03-01,8798.0645,real,,
2025-04-01,9771.7333,real,,
2025-05-01,9427.634520578631,previsto,9162.567530886883,9692.701510270379
2025-06-01,9626.994866639126,previsto,9358.165030562543,9895.82470271571
2025-07-01,9498.813333615964,previsto,9213.117669271027,9784.508997960902
2025-08-01,9579.9499370427,previsto,9282.024338975083,9877.875535110317
2025-09-01,9247.283388677859,previsto,8936.812456744894,9557.754320610824
2025-10-01,9297.129269848145,previsto,8974.783718416586,9619.474821279704
2025-11-01,9163.277777901867,previsto,8829.438227643936,9497.117328159798
2025-12-01,9053.40099441435,previsto,8708.459699015933,9398.342289812768
2026-01-01,8565.15567650798,previsto,8209.456801835071,8920.85455118089
2026-02-01,8906.789107767521,previsto,8540.649084745159,9272.929130789884
2026-03-01,9163.90326475262,previsto,8787.611595808836,9540.194933696404
2026-04-01,9353.720574485998,previsto,8967.544043568563,9739.897105403434
