date,Demand,tipo,conf_lower,conf_upper
2002-01-01,5715.06,real,,
2002-02-01,5431.25,real,,
2002-03-01,5535.94,real,,
2002-04-01,5603.87,real,,
2002-05-01,5379.87,real,,
2002-06-01,5401.87,real,,
2002-07-01,5495.45,real,,
2002-08-01,5491.94,real,,
2002-09-01,5470.87,real,,
2002-10-01,5635.81,real,,
2002-11-01,5736.37,real,,
2002-12-01,5833.45,real,,
2003-01-01,6065.0,real,,
2003-02-01,6157.64,real,,
2003-03-01,5788.68,real,,
2003-04-01,5609.27,real,,
2003-05-01,5304.29,real,,
2003-06-01,5475.67,real,,
2003-07-01,5424.1,real,,
2003-08-01,5577.9,real,,
2003-09-01,5609.4,real,,
2003-10-01,5728.55,real,,
2003-11-01,5650.6,real,,
2003-12-01,5924.65,real,,
2004-01-01,6106.35,real,,
2004-02-01,6121.07,real,,
2004-03-01,5952.45,real,,
2004-04-01,5881.8,real,,
2004-05-01,5606.29,real,,
2004-06-01,5741.17,real,,
2004-07-01,5644.77,real,,
2004-08-01,5801.0,real,,
2004-09-01,5830.73,real,,
2004-10-01,5950.61,real,,
2004-11-01,5957.17,real,,
2004-12-01,6038.19,real,,
2005-01-01,6014.26,real,,
2005-02-01,6132.43,real,,
2005-03-01,6338.81,real,,
2005-04-01,5857.67,real,,
2005-05-01,5923.74,real,,
2005-06-01,5908.93,real,,
2005-07-01,5748.84,real,,
2005-08-01,5928.94,real,,
2005-09-01,5956.43,real,,
2005-10-01,5961.03,real,,
2005-11-01,5891.47,real,,
2005-12-01,6284.29,real,,
2006-01-01,5954.81,real,,
2006-02-01,6119.32,real,,
2006-03-01,6207.16,real,,
2006-04-01,5894.87,real,,
2006-05-01,5881.77,real,,
2006-06-01,5872.3,real,,
2006-07-01,5803.23,real,,
2006-08-01,6016.1,real,,
2006-09-01,5884.77,real,,
2006-10-01,6098.35,real,,
2006-11-01,5945.63,real,,
2006-12-01,6046.52,real,,
2007-01-01,6032.48,real,,
2007-02-01,6367.5,real,,
2007-03-01,6064.29,real,,
2007-04-01,5974.43,real,,
2007-05-01,5821.03,real,,
2007-06-01,5905.33,real,,
2007-07-01,5806.61,real,,
2007-08-01,5998.9,real,,
2007-09-01,5827.23,real,,
2007-10-01,6016.61,real,,
2007-11-01,5839.87,real,,
2007-12-01,5948.23,real,,
2008-01-01,5871.94,real,,
2008-02-01,5945.97,real,,
2008-03-01,5852.42,real,,
2008-04-01,5797.5,real,,
2008-05-01,5622.61,real,,
2008-06-01,5480.93,real,,
2008-07-01,5348.06,real,,
2008-08-01,5397.03,real,,
2008-09-01,5310.5,real,,
2008-10-01,5718.48,real,,
2008-11-01,5426.43,real,,
2008-12-01,5299.84,real,,
2009-01-01,6855.29,real,,
2009-02-01,6720.32,real,,
2009-03-01,6715.65,real,,
2009-04-01,6420.77,real,,
2009-05-01,6229.32,real,,
2009-06-01,6486.63,real,,
2009-07-01,6517.74,real,,
2009-08-01,6450.84,real,,
2009-09-01,6486.8,real,,
2009-10-01,6538.35,real,,
2009-11-01,6441.8,real,,
2009-12-01,6725.9,real,,
2010-01-01,6494.84,real,,
2010-02-01,6663.46,real,,
2010-03-01,6854.48,real,,
2010-04-01,6659.13,real,,
2010-05-01,6643.87,real,,
2010-06-01,6941.43,real,,
2010-07-01,6643.58,real,,
2010-08-01,6913.9,real,,
2010-09-01,6895.03,real,,
2010-10-01,6764.94,real,,
2010-11-01,6814.53,real,,
2010-12-01,7073.19,real,,
2011-01-01,6760.16,real,,
2011-02-01,6755.04,real,,
2011-03-01,6960.97,real,,
2011-04-01,6750.23,real,,
2011-05-01,6648.06,real,,
2011-06-01,7127.07,real,,
2011-07-01,6610.42,real,,
2011-08-01,7224.42,real,,
2011-09-01,6861.73,real,,
2011-10-01,6888.84,real,,
2011-11-01,7048.57,real,,
2011-12-01,6650.42,real,,
2012-01-01,6565.97,real,,
2012-02-01,6731.69,real,,
2012-03-01,6594.58,real,,
2012-04-01,6488.93,real,,
2012-05-01,6674.45,real,,
2012-06-01,6914.27,real,,
2012-07-01,6577.39,real,,
2012-08-01,6777.26,real,,
2012-09-01,6513.03,real,,
2012-10-01,6667.68,real,,
2012-11-01,6705.17,real,,
2012-12-01,6366.19,real,,
2013-01-01,6761.9,real,,
2013-02-01,6740.89,real,,
2013-03-01,6659.39,real,,
